book_id,title
676,Sailing Alone Around the Room: New and Selected Poems
698,Digging to America
703,The Plot Against America
706,America
760,Memoria de mis putas tristes
771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
816,Cryptonomicon
822,The Confusion
823,Quicksilver
825,Zodiac
827,The Diamond Age
830,Snow Crash
840,The Psychology of Everyday Things
865,O Alquimista
870,鋼の錬金術師 1
880,Pompeii
890,Of Mice and Men 
900,The Game
902,The Westing Game
903,The Egypt Game
930,Memoirs of a Geisha
952,The Five Love Languages of Children
960,Angels & Demons 
968,The Da Vinci Code
976,Deception Point
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
1005,Think and Grow Rich
1032,Trump: The Art of the Deal
1052,
1067,1776
1078,The Good Earth
1097,Fast Food Nation : The Dark Side of the All-American Meal 
1103,Snow Flower and the Secret Fan
1110,The Broker
1171,Liar's Poker: Rising Through the Wreckage on Wall Street
1191,Giada's Family Dinners
1192,Everyday Italian: 125 Simple and Delicious Recipes
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1232,La sombra del viento
1241,A Million Little Pieces
1274,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships"
1295,The Clan of the Cave Bear
1301,Moneyball: The Art of Winning an Unfair Game
1303,The 48 Laws of Power
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae
1307,Fire Sea
1319,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles
1362,Ἰστορίαι
1371,Ἰλιάς
1375,Ἰλιάς ; Ὀδύσσεια
1381,Ὀδύσσεια
1420,"The Tragicall Historie of Hamlet, Prince of Denmark"
1426,Manual do guerreiro da luz
1427,O Zahir
1428,Na margem do rio Piedra eu sentei e chorei
1430,Onze minutos
1431,Veronika decide morrer
1519,Ὀρέστεια
1524,Ἀγαμέμνων
1540,
1554,Οἰδίπους Τύραννος
1591,Λυσιστράτη
1617,Un di Velt Hot Geshvign
1618,The Curious Incident of the Dog in the Night-Time
1622,A Midsummer Night's Dream
1624,West with the Night
1625,"Twelfth Night; or, What You Will"
1627,Brokeback Mountain
1633,Getting Things Done: How To Achieve Stress-free Productivity
1635,
1715,Metamorphoses
1823,Them: Adventures with Extremists
1824,The Men Who Stare at Goats
1842,"Guns, Germs, and Steel: The Fates of Human Societies"
1845,Into the Wild
1846,
1848,Wild Swans: Three Daughters of China
1849,Wild Fire
1852,The Call of the Wild
1869,Nickel and Dimed: On
1875,Histoire de la sexualité 1. La Volonté de savoir
1885,Pride and Prejudice
1897,Eiger Dreams: Ventures Among Men and Mountains
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster
1911,The World Is Flat: A Brief History of the Twenty-first Century
1934,Little Women
1953,A Tale of Two Cities
1990,The Life and Adventures of Martin Chuzzlewit
2002,
2049,The High Window
2050,"Farewell, My Lovely"
2052,The Big Sleep
2054,The Long Goodbye
2067,Breaking the Spell: Religion as a Natural Phenomenon
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life
2094,A Briefer History of Time
2095,The Universe in a Nutshell
2122,The Fountainhead
2137,A Home at the End of the World
2142,Blink
2152,The Jane Austen Book Club
2156,Persuasion
2159,Confessions of an Economic Hit Man
2165,The Old Man and the Sea
2175,Madame Bovary
2183,L'Éducation sentimentale
2187,Middlesex
2199,Team of Rivals: The Political Genius of Abraham Lincoln
2203,John Adams
2255,Way of the Peaceful Warrior: A Book That Changes Lives
2265,It's Not About the Bike: My Journey Back to Life
2279,Truman
2368,Mornings on Horseback
2371,The Johnstown Flood
2372,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914"
2373,The Bone Collector
2430,The List
2442,Witches Abroad
2493,The Time Machine
2517,Benim Adım Kırmızı
2526,Ensaio Sobre a Cegueira
2528,Todos os Nomes
2530,Memorial do Convento
2547,The Prophet
2612,The Tipping Point: How Little Things Can Make a Big Difference
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business
2623,Great Expectations
2657,To Kill a Mockingbird
2666,The Bonfire of the Vanities
2677,A Modest Proposal and Other Satirical Works
2696,Tales of Caunterbury
2715,Salt: A World History
2743,
2744,Anansi Boys
2748,Microserfs
2767,A People's History of the United States: 1492 to Present 
2784,Ways of Seeing
2794,The Crying of Lot 49
2839,Bridge to Terabithia
2865,Girl with a Pearl Earring
2872,Falling Angels
2873,The Virgin Blue
2879,Bleach―ブリーチ― 15
2880,BLEACH―ブリーチ―　1
2915,The River
2932,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner"
2956,The Adventures of Huckleberry Finn
2978,Lost Horizon
2998,The Secret Garden
3008,A Little Princess
3028,Economics in One Lesson
3049,Gawayn and þe Grene Knyȝt
3061,The Natural Way to Draw
3087,A Room with a View
3102,Howards End
3103,Maurice
3109,The Omnivore's Dilemma
3110,Assassination Vacation
3273,Moloka'i
3291,Cuentos de Eva Luna
3300,Inés del alma mía
3304,La ciudad de las bestias
3368,Don't Make Me Think! A common sense approach to web usability
3378,Generation X: Tales for an Accelerated Culture
3379,All Families Are Psychotic
3381,Hey Nostradamus!
3384,Girlfriend in a Coma
3388,Captain Corelli's Mandolin
3412,The Thorn Birds
3431,The Five People You Meet in Heaven
3446,Going After Cacciato
3447,In the Lake of the Woods
3462,The Rescue
3463,A Bend in the Road
3464,True Believer
3465,Three Weeks with My Brother
3466,The Wedding
3467,The People of Sparks
3473,A Walk to Remember
3476,Icy Sparks
3478,Message in a Bottle
3483,Special Topics in Calamity Physics
3507,Twelve Sharp
3559,From Beirut to Jerusalem
3562,Emily of New Moon
3579,The Complete Anne of Green Gables Boxed Set
3581,"Sherlock Holmes: The Complete Novels and Stories, Volume I"
3586,"Sherlock Holmes: The Complete Novels and Stories, Vol 2"
3590,The Adventures of Sherlock Holmes
3636,The Giver
3648,The Emperor's Children
3656,The Sea
3679,On Beauty
3682,A Great and Terrible Beauty
3685,Black Beauty
3686,Truth & Beauty: A Friendship
3690,The Power and the Glory
3692,The Heart of the Matter
3698,The Quiet American
3710,The Autograph Man
3711,White Teeth
3717,Stranger Than Fiction: True Stories
3750,Moonraker
3757,Dr. No
3758,Casino Royale
3759,Goldfinger
3760,Diamonds are Forever
3762,On Her Majesty's Secret Service
3763,Live and Let Die
3764,"From Russia, with Love"
3805,The Corrections
3832,Cover Her Face
3836,Don Quijote de La Mancha
3858,Holy Cow: An Indian Adventure
3867,The History of Love
3869,A Brief History of Time: From the Big Bang to Black Holes
3872,A History of the World in 6 Glasses
3873,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam"
3876,The Sun Also Rises
3882,Rachael Ray 365: No Repeats--A Year of Deliciously Different Dinners
3885,The Taste of Home Cookbook
3888,The America's Test Kitchen Family Cookbook
3895,The Barefoot Contessa Cookbook
3972,Olympos
3973,Ilium
3974,The Terror
3977,Endymion
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler
3985,The Amazing Adventures of Kavalier & Clay
4004,O Diário de um Mago
4005,O Monte Cinco
4006,As Valkírias
4008,O Demônio e a Srta. Prym
4009,Nine Stories
4031,Lunar Park
4035,The Burden of Proof
4069,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager
4076,In Search of Excellence
4099,The Pragmatic Programmer: From Journeyman to Master
4122,Built to Last: Successful Habits of Visionary Companies
4135,I Like You: Hospitality Under the Influence
4136,Holidays on Ice
4137,Me Talk Pretty One Day
4138,Naked
4143,Barrel Fever: Stories and Essays
4214,Life of Pi
4261,31 Songs
4264,Fever Pitch
4268,How to Be Good
4271,About a Boy
4325,Dreamland 
4339,Dispatches
4364,Maximum City: Bombay Lost and Found
4373,First They Killed My Father: A Daughter of Cambodia Remembers 
4381,Fahrenheit 451
4395,The Grapes of Wrath
4406,East of Eden  
4407,American Gods
4473,A Prayer for Owen Meany
4477,Complications: A Surgeon's Notes on an Imperfect Science
4507,Sickened
4516,Marina
4530,Olivia Joules And The Overactive Imagination
4538,The View from Saturday
4588,Extremely Loud and Incredibly Close
4591,Genome: The Autobiography of a Species in 23 Chapters
4599, Carter Beats the Devil
4600,"Moo, Baa, La La La!"
4625,The Complete Short Stories of Ernest Hemingway
4630,To Have and Have Not 
4631,A Moveable Feast
4633,Islands in the Stream
4645,The Snows of Kilimanjaro and Other Stories
4652,In Our Time
4656,The Fourth Hand
4657,The Water-Method Man
4659,A Widow for One Year
4660,The 158-Pound Marriage
4662,The Short Stories of F. Scott Fitzgerald
4671,The Great Gatsby
4687,The Cider House Rules
4692,The Physician
4701,A Spot of Bother
4708,The Beautiful and Damned
4796,The Winter of our Discontent
4799,Cannery Row 
4806,Longitude
4813,1421: The Year China Discovered America
4820,"Mayflower: A Story of Courage, Community, and War"
4830,Shalimar the Clown
4835,Haroun and the Sea of Stories
4865,How to Win Friends and Influence People
4866,How to Stop Worrying and Start Living
4887,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung
4894,Who Moved My Cheese?
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant
4900,Heart of Darkness
4909,Teacher Man
4912,'Tis: A Memoir
4921,Three Men in a Boat
4929,海辺のカフカ [Umibe no Kafuka]
4934,Братья Карамазовы
4948,The Very Hungry Caterpillar
4950,The Hungry Tide
4952,What Is the What: The Autobiography of Valentino Achak Deng
4953,A Heartbreaking Work of Staggering Genius
4954,You Shall Know Our Velocity!
4955,How We Are Hungry
4965,Year of Wonders: A Novel of the Plague
4978,Wolves of the Calla
4979,A Man Without a Country
4980,Breakfast of Champions
4981,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death "
4982,The Sirens of Titan
4983,Kurt Vonnegut's Cat Cradle
4984,Bagombo Snuff Box
4985,Welcome to the Monkey House
4986,"God Bless You, Dr. Kevorkian"
4987,Jailbird
4989,The Red Tent
5015,Saturday
5038,The Pillars of Creation
5043,The Pillars of the Earth
5052,Code to Zero
5053,The Man from St. Petersburg
5055,Night over Water
5062,Jackdaws
5064,World Without End
5068,Last Orders
5084,My Life in France
5091,The Dark Tower
5093,Song of Susannah
5094,The Drawing of the Three
5096,Wizard and Glass
5107,The Catcher in the Rye
5113,Franny and Zooey
5114,"Raise High the Roof Beam, Carpenters / Seymour: An Introduction"
5128,The Doors of Perception & Heaven and Hell
5129,Brave New World
5130,Island
5139,The Devil Wears Prada
5148,A Separate Peace
5157,Black and Blue
5158,A Virtuous Woman 
5159,Here on Earth 
5160,The Heart of a Woman
5161,The Deep End of the Ocean
5166,Midwives
5167,Cane River
5168,Where the Heart Is
5171,Drowning Ruth
5174,Fall on Your Knees
5175,What Looks Like Crazy on an Ordinary Day
5176,While I Was Gone
5179,Mother of Pearl
5180,The Rapture of Canaan
5181,Jewel
5182,Songs in Ordinary Time
5186,"Breath, Eyes, Memory "
5187,The Book of Ruth
5190,Open House
5191,The Pilot's Wife
5196,Tara Road
5197,A Lesson Before Dying
5198,
5203,She's Come Undone
5204,We Were the Mulvaneys
5205,A Map of the World
5211,A Fine Balance
5246,Ethan Frome
5289,Collected Works
5296,An Ideal Husband
5297,The Picture of Dorian Gray
5306,Travels with Charley: In Search of America
5308,The Pearl of the World
5326,A Christmas Carol
5338,A Christmas Carol and Other Christmas Writings
5344,Hard Times: For These Times
5345,The Innocent Man
5346,The Last Juror
5347,Bleachers
5348,The Testament
5349,The Rainmaker
5350,The Partner
5351,The Street Lawyer
5352,The Summons
5354,The Brethren
5355,The Chamber
5356,The King of Torts
5357,Skipping Christmas
5358,The Firm
5359,The Client
5360,A Painted House
5364,Dragonfly in Amber
5367,The Great Book of Amber
5368,Forever Amber
5369,The Amber Room
5413,'Salem's Lot The Illustrated Edition
5417,Three Complete Novels: Carrie/Salem's Lot/The Shining
5439,Interpreter of Maladies
5452,Girls in Pants: The Third Summer of the Sisterhood
5453,Forever in Blue: The Fourth Summer of the Sisterhood
5454,The Second Summer of the Sisterhood
5470,Nineteen Eighty-Four
5472, Animal Farm & 1984
5479,Brave New World/Brave New World Revisited
5481,Brave New World Revisited 
5508,Anne Frank: Beyond the Diary - A Photographic Remembrance
5509,Anne Frank Remembered
5517,A Raisin in the Sun
5526,Dear John
5527,All the King’s Men
5544,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character"
5548,What Do You Care What Other People Think? Further Adventures of a Curious Character
5552,QED: The Strange Theory of Light and Matter
5553,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher
5559,Jack: Straight from the Gut
5571,Cradle to Cradle: Remaking the Way We Make Things
5575,Virgin
5659,The Wind in the Willows
5693,Рассказы и Повести
5695,Бесы
5697,
5720,Rainbow Six
5752,The Blank Slate: The Modern Denial of Human Nature
5755,The Language Instinct: How the Mind Creates Language
5759,Fight Club
5787,El Aleph
5797,Vanity Fair: A Novel Without a Hero
5805,V for Vendetta
5809,V.
5826,Bel Canto
5845,A Bend in the River
5849,A House for Mr. Biswas
5872,Regeneration
5890,The Woman in White
5907,The Hobbit or There and Back Again
5932,Veinte poemas de amor y una canción desesperada
5936,The Poetry of Pablo Neruda
5942,Anil's Ghost
5946,In the Skin of a Lion
5954,Narziß und Goldmund
6138,The Moonstone
6149,Beloved
6150,"Cry, The Beloved Country"
6159,Reservation Blues
6174,Se questo è un uomo
6185,Wuthering Heights
6192,Disgrace
6193,Life & Times of Michael K.
6194,Waiting for the Barbarians
6259,Birdsong
6288,The Road
6294,Howl's Moving Castle
6295,Howl and Other Poems 
6310,Charlie and the Chocolate Factory
6319,The BFG
6327,The Witches
6328,Revolting Rhymes
6334,Never Let Me Go
6419,Plum Lovin'
6420,Visions of Sugar Plums
6422,Four to Score 
6423,High Five
6424,Seven Up
6425,Hard Eight
6426,Motor Mouth
6427,Two for the Dough
6440,Ivanhoe
6462,His Excellency: George Washington
6514,The Bell Jar
6520,My Friend Leonard
6526,Book of the Dead
6528,Predator
6530,Trace
6531,Point of Origin
6534,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta
6537,From Potter's Field
6538,Portrait of a Killer: Jack The Ripper - Case Closed
6539,The Body Farm
6541,Cause of Death
6551,Herzog
6554,Darkness
6572,Suffer the Children
6588,The Big Bad Wolf  
6596,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book"
6613,Four Blondes
6614,Lipstick Jungle
6628,The Big Over Easy
6656,La Divina Commedia
6667,Boy: Tales of Childhood
6670,
6671,The Wonderful Story Of Henry Sugar And Six More
6678,Going Solo
6687,"Charlie and the Great Glass Elevator: The Further Adventures of Charlie Bucket and Willy Wonka, Chocolate-Maker Extraordinaire"
6689,James and the Giant Peach
6690,Danny: The Champion of the World
6693,Fantastic Mr Fox
6694,The Giraffe and the Pelly and Me
6697,Little Altars Everywhere
6708,The Power of Now
6709,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from The Power of Now"
6748,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments
6749,Oblivion
6750,The Broom of the System
6751,Consider the Lobster
6753,Brief Interviews with Hideous Men
6759,Infinite Jest
6819,Ghostwritten
6820,number9dream
6853,One for the Money
6854,Three to Get Deadly
6858,Hot Six
6862,Amsterdam
6867,Atonement
6870,Enduring Love
6872,The Comfort of Strangers
6882,Papillon 
6900,Tuesdays with Morrie
6952,Como agua para chocolate
6969,Emma
6976,The Mermaid Chair
7035,Morality for Beautiful Girls
7036,The Kalahari Typing School for Men
7039,Tears of the Giraffe
7053,In the Company of Cheerful Ladies
7058,The Good Husband of Zebra Drive
7061,The No. 1 Ladies' Detective Agency 
7062,Paris to the Moon
7069,The World According to Garp
7073,A Son of the Circus
7081,The Android's Dream
7082,Do Androids Dream of Electric Sheep?
7126,Le Comte de Monte-Cristo
7144,Преступление и наказание
7184,Vingt ans après
7186,La Dame aux camélias
7190,Les Trois Mousquetaires
7194,El club Dumas
7199,The Way the Crow Flies
7201,As The Crow Flies
7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
7244,The Poisonwood Bible
7252,How to Make Love Like a Porn Star: A Cautionary Tale
7329,Unfinished Tales of Númenor and Middle-Earth
7332,The Silmarillion
7354,The Shipping News
7389,
7432,Pardonable Lies
7433,Messenger of Truth
7437,The Naked Lunch
7442,The Electric Kool-Aid Acid Test
7445,The Glass Castle
7455,Sex and the City
7493,Founding Brothers: The Revolutionary Generation
7494,Suzanne's Diary for Nicholas
7510,The Beach House
7520,Path of the Assassin
7531,The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life
7572,Even Cowgirls Get the Blues
7579,Awakening the Buddha Within : Tibetan Wisdom for the Western World
7588,A Portrait of the Artist as a Young Man
7603,Reading Lolita in Tehran: A Memoir in Books
7604,Lolita
7613,Animal Farm: A Fairy Story
7624,Lord of the Flies 
7628,The Good Soldier
7661,Next
7663,A Case of Need
7667,Airframe
7668,Rising Sun
7669,Timeline
7670,The Andromeda Strain
7672,Congo
7673,Eaters of the Dead
7675,Disclosure
7677,Jurassic Park
7679,The Terminal Man
7682,The Great Train Robbery
7707,Pygmalion and My Fair Lady
7714,Pygmalion
7723,Die Verwandlung und andere Erzählungen
7728,Ἀντιγόνη
7733,Gulliver’s Travels
7742,
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
7748,Fear and Loathing on the Campaign Trail '72
7763,The Joy Luck Club
7769,
7770,"One Fish, Two Fish, Red Fish, Blue Fish"
7779,Horton Hears a Who!
7780,The Secret Art of Dr. Seuss
7784,The Lorax
7785,I Can Read with My Eyes Shut!
7788,The Cat in the Hat and Other Dr. Seuss Favorites
7797,Ten Apples Up on Top
7805,Pale Fire
7815,The Year of Magical Thinking
7869,The Bourne Identity
7882,
7909,Betsy-Tacy
7911,Five Little Peppers and How They Grew
7926,All-of-a-Kind Family
7967,Speaker for the Dead
7968,Red Prophet
7973,Enchantment
7979,The Bellmaker
7980,The Pearls of Lutra
7981,The Long Patrol
7983,Salamandastron
7987,The Legend of Luke
7993,Mariel of Redwall
7996,Redwall
7998,Outcast of Redwall
7999,Marlfox
8073,Cloudy with a Chance of Meatballs
8087,Deerskin
8088,Sunshine
8089,Rose Daughter
8127,Anne of Green Gables
8155,A Woman of Substance 
8172,Superman: Birthright 1-12
8248,By the Shores of Silver Lake
8252,Farmer Boy
8253,Little Town on the Prairie
8282,The Long Winter
8296,The First Four Years
8337,Little House In The Big Woods
8492,Prophet
8515,The Man Who Listens to Horses
8600,"Eats, Shoots and Leaves"
8646,Crow Lake
8647,Shadow of the Giant
8648,Xenocide
8650,The Lost World
8676,Unlimited Power : The New Science Of Personal Achievement
8680,Fierce Invalids Home From Hot Climates
8682,Jitterbug Perfume
8694,"Life, the Universe and Everything"
8695,The Restaurant at the End of the Universe
8696,Last Chance to See
8698,"So Long, and Thanks for All the Fish"
8725,Comfort Me with Apples: More Adventures at the Table
8732,The Red Pony
8745,Desert Flower: The Extraordinary Journey of a Desert Nomad
8765,I Feel Bad About My Neck: And Other Thoughts on Being a Woman
8852,The Tragedy of Macbeth
8908,World War Z: An Oral History of the Zombie War
8909,The War of the Worlds
8914,The First World War
8921,The Hound of the Baskervilles
8948,Sons of Destiny
8949,Lord of the Shadows
8951,The Lake of Souls
8952,Killers of the Dawn
8953,Freak the Mighty
8957,Tunnels of Blood
8960,Vampire Mountain
8962,Cirque Du Freak
8963,Hunters of the Dusk
8964,"Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks"
8965,The Vampire's Assistant
8966,Allies of the Night
8967,Trials of Death
8968,The Vampire Prince
9010,I Hope They Serve Beer in Hell
9013,The Long Walk: The True Story of a Trek to Freedom
9014,The Long Walk
9282,The Smoke Jumper
9298,Last Chance Saloon
9300,Watermelon
9301,Rachel's Holiday
9302,The Other Side of the Story
9303,Lucy Sullivan is Getting Married
9328,La casa de los espíritus
9355,Until I Find You
9370,Skinny Legs and All
9375,Fried Green Tomatoes at the Whistle Stop Cafe
9416,Confessions of a Shopaholic
9417,Shopaholic and Sister
9418,Shopaholic Abroad
9419,Shopaholic Ties the Knot
9420,Shopaholic and Baby
9454,Phänomenologie des Geistes
9475,Midnight for Charlie Bone
9503,Saving Fish from Drowning: A Novel
9516,Persepolis
9517,Persepolis 2 
9522,
9526,
9530,Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II
9531,Peter and the Shadow Thieves
9532,Ender's Shadow
9534,Shadow of the Hegemon
9539,The Shadow Rising 
9549, 
9555,象の消滅 [Zō no shōmetsu]
9557,スプートニクの恋人 [Supūtoniku no Koibito]
9566,Still Life with Woodpecker
9567,Half Asleep in Frog Pajamas
9569,Villa Incognito
9570,Another Roadside Attraction
9589,Hocus Pocus
9590,"God Bless You, Mr Rosewater or Pearls before Swine"
9592,Mother Night
9593,Galápagos
9594,Timequake
9595,Slapstick
9597,Player Piano
9598,Deadeye Dick
9601,Bluebeard
9646,Homage to Catalonia
9648,Keep the Aspidistra Flying
9650,Burmese Days
9654,Fear of Flying
9712,El amor en los tiempos del cólera
9717,Nesnesitelná lehkost bytí
9742,The Audacity of Hope: Thoughts on Reclaiming the American Dream
9762,Loving What Is: Four Questions That Can Change Your Life
9777,The God of Small Things
9784,Women in Love
9791,A Walk in the Woods
9799,The Fortress of Solitude
9804,Il barone rampante
9809,Le città invisibili
9820,Crossing to Safety
9822,Mrs. Frisby and the Rats of NIMH
9827,King Rat
9833," めくらやなぎと、眠る女 [Mekurayanagi to, nemuru onna]"
9838,Bokhandleren i Kabul
9844,Prep
9854,
9864,The Ground Beneath Her Feet
9865,The Moor's Last Sigh
9912,The Rules of Attraction
9913,Glamorama
9914,The Informers
9915,Less Than Zero
9943,The Atonement Child
9957,The Cement Garden
9998,砂の女 [Suna no onna]
10006,Oracle Night
10009,Homo faber: Ein Bericht
10031,Le Mur
10033,L'être et le néant
10037,No Exit and Three Other Plays
10058,Flags of Our Fathers
10065,Wayside School is Falling Down
10073,A Long Way Down
10084,River of Blue Fire
10090,Mountain of Black Glass
10092,Sea of Silver Light
10104,The Six Wives of Henry VIII
10105,The Last Wife of Henry VIII
10108,"The Autobiography of Henry VIII. With Notes by His Fool, Will Somers"
10115,The Memoirs of Cleopatra
10155,The Lost World 
10176,Dress Your Family in Corduroy and Denim
10210,Jane Eyre
10222,The Far Pavilions
10235,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World"
10238,The Tao of Physics: An Exploration of the Parallels Between Modern Physics and Eastern Mysticism
10365,Where the Red Fern Grows
10374,世界の終りとハードボイルド・ワンダーランド [Sekai no owari to hādoboirudo wandārando]
10395,How Soccer Explains the World: An Unlikely Theory of Globalization
10412,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys
10441,The Memory Keeper's Daughter
10444,Ballet Shoes
10461,Desolation Angels
10505,Storia della bellezza
10506,L'isola del giorno prima
10507,Baudolino
10534,孫子兵法 [Sūnzi bīngfǎ]
10538,The Life and Times of The Thunderbolt Kid: A Memoir
10541,Made in America: An Informal History of the English Language in the United States
10566,Lisey's Story
10567,Cell
10569,On Writing: A Memoir of the Craft
10572,A Clash of Kings
10574,The Colorado Kid
10577,Roadwork
10579,Everything's Eventual: 14 Dark Tales
10583,Pet Sematary
10584,Desperation
10585,Insomnia
10588,Nightmares & Dreamscapes 
10589,Bag of Bones
10592,Carrie
10596,The Regulators
10603,Cujo
10605,Thinner
10607,Black House 
10611,Eyes of the Dragon
10614,Misery
10617,The Bachman Books
10618,
10619,Rose Madder
10625,Dolores Claiborne
10628,Night Shift
10629,Christine
10639,The Paradox of Choice: Why More Is Less
10669,When Genius Failed: The Rise and Fall of Long-Term Capital Management
10692,The Historian
10739,The Moviegoer
10765,A Year in the Merde
10775,The Garden of Eden
10799,A Farewell to Arms
10836,Che Guevara: A Revolutionary Life
10847,Under the Banner of Heaven: A Story of Violent Faith
10867,The Pleasure of My Company
10873,Shopgirl: A Novella
10878,The Great Shark Hunt: Strange Tales from a Strange Time
10882,Hell's Angels
10883,Benjamin Franklin: An American Life
10884,Einstein. His Life and Universe
10890,Traveling Mercies: Some Thoughts on Faith
10907,The Pursuit of Happyness
10908,Harvesting the Heart
10909,The Tenth Circle
10910,Mercy
10911,Second Glance
10912,Picture Perfect
10913,Keeping Faith
10914,Songs of the Humpback Whale: A Novel in Five Voices
10915,Salem Falls
10916,The Pact
10917,My Sister's Keeper
10920,Cold Mountain
10929,For One More Day
10956,The Virgin Suicides
10959,Sofies Verden
10964,Outlander
10965,A Breath of Snow and Ashes
10967,The Fiery Cross
10975,The Sound and the Fury
10979,Light in August
10987,Voyager
10988,Drums of Autumn
10990,Lord John and the Private Matter
11003,Eleven on Top
11012,Dubliners
11031,La tabla de Flandes
11041,Delta of Venus
11077,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific
11125,Digital Fortress
11127,The Chronicles of Narnia
11138,Mere Christianity
11149,A Grief Observed
11206,In the Time of the Butterflies
11208,How the Garcia Girls Lost Their Accents 
11229,"The Sea, the Sea"
11275,ねじまき鳥クロニクル [Nejimakidori kuronikuru]
11279,Summer of Night
11286,Carrion Comfort
11289,The Rise of Endymion
11297,ノルウェイの森 [Noruwei no Mori]
11298,羊をめぐる冒険 [Hitsujiwomegurubōken]
11299,神の子どもたちはみな踊る
11301,Horton Hatches the Egg
11306,The Dark Is Rising Sequence
11312,"Over Sea, Under Stone"
11313,Silver on the Tree
11318,Trouble Is My Business
11324,Under The Net
11334,Song of Solomon
11337,The Bluest Eye
11339,Cien sonetos de amor
11346,Sula
11359,Tar Baby
11366,The Guns of August
11376,Main Street
11413,
11422,
11429,Ever After
11430,Return
11432,Reunion
